学校id,学校名,Street,Suburb,Town / City,电话,邮箱,website
25124,Active Explorers Airport,(International Airport) 6 Uenuku Way,Auckland Airport,Auckland,09-2750888,cm.airport@activeexplorers.co.nz,
25423,Active Explorers Ellerslie,75 Ballarat Street,Ellerslie,Auckland,09-579 4991,cm.ellerslie@activeexplorers.co.nz,
46482,Active Explorers Glenfield Kea,494 Glenfield Road,Glenfield,Auckland,09-4440077,cm.glenfieldkea@activeexplorers.co.nz,
45708,Active Explorers Glenfield Rimu,4A Camrose Place,Glenfield,Auckland,09-4440076,cm.glenfieldrimu@activeexplorers.co.nz,
45567,Active Explorers St Lukes,55 Sainsbury Road,Mt Albert,Auckland,09-815 8586,cm.stlukes@activeexplorers.co.nz,
46943,Ako Adventures,22 Russell Road,Manurewa,Auckland,09-266 6285,office@akoadventures.co.nz,
47394,All About Children - Reggio,429 Great South Road,Papakura,Auckland,,manager.papakura@allaboutchildren.co.nz,https://www.allaboutchildrenchildcare.co.nz/childcare-opaheke-papakura-auckland-reggio/
46823,AoKids/Papakura,1 Prictor St,Papakura Central,Auckland,09-2981960,papakura@aokids.co.nz,https://www.aokids.co.nz/
46071,Apple Tree Childcare Centre Ballyboe,"2 Ballyboe Place, Pinehill",Albany,Auckland,09-9503623,info@apple-tree.co.nz,
10370,Apples Childcare and Learning Centre,22 Cameron Street,Onehunga,Auckland,09-6348000,onehunga@appleschildcare.co.nz,
25185,Appletree Preschool,140 Archers Road,Glenfield,Auckland,09-4421244,info@apple-tree.co.nz,
47669,Aspirations Early Learning Centre,26 Cornwall Road,Papatoetoe,Auckland,09-5705786,info@aspirationselc.co.nz,
20472,Babies & Buddies Early Childhood Centre,141 Universal Drive,Henderson,Auckland,09-837 4023,babies.buddies@hotmail.com,
48129,Beachlands Brilliant Minds Early Childhood Centre,19 Wakelin Road,Beachlands,Auckland,09-536 4635,beachlands@brilliantminds.co.nz,
