id,学校名字,street,suburb,city,email,电话,website
46482,Active Explorers Glenfield Kea,494 Glenfield Road,Glenfield,Auckland,cm.glenfieldkea@activeexplorers.co.nz,09-4440077,
45708,Active Explorers Glenfield Rimu,4A Camrose Place,Glenfield,Auckland,cm.glenfieldrimu@activeexplorers.co.nz,09-4440076,
20001,Akoranga Childcare Centre,"AUT Campus, Gate 2 Akoranga Drive",Northcote,Auckland,office@akorangachildcare.co.nz,09-4897916,
10137,Akoteu To'o Lelei,139 Queen Street,Northcote Point,Auckland,toolelei@xtra.co.nz,09-480 0841,
20002,Albany Community Preschool,575 Albany Highway,Albany,Auckland,manager@albanypreschool.co.nz,09-4159690,
5557,Albany Kindergarten,4 Bass Road,Albany,Auckland,albany@kaitiakikindergartens.org.nz,09-415 9517,
47380,All About Children - Apollo Drive,87 Apollo Drive,Rosedale,Auckland,manjot@kweg.co.nz,09-479 3387,
46071,Apple Tree Childcare Centre Ballyboe,"2 Ballyboe Place, Pinehill",Albany,Auckland,info@apple-tree.co.nz,09-9503623,
25185,Appletree Preschool,140 Archers Road,Glenfield,Auckland,info@apple-tree.co.nz,09-4421244,
48310,Baby Panda Home-based Childcare,686 Beach Road,Browns Bay,Auckland,,022-3977394,
10248,Bayview Early Learning Centre,72 Bayview Road,Glenfield,Auckland,manager@bayviewcentre.org.nz,09-443 8144,
5031,Bayview Kindergarten,70 Bayview Road,Glenfield,Auckland,bayview@aka.org.nz,09-444 5540,
5033,Beach Haven Kindergarten,179 Beach Haven Road,Beach Haven,Auckland,beachhaven@aka.org.nz,09-483 8706,
45405,Beach haven Playcentre,6 Drome View Place,Beach Haven,Auckland,rachel.rix-trott@playcentre.org.nz,09-481 8035,
20549,Bear Park Albany,31 Schnapper Rock Road,Albany,North Shore City,albany@bearpark.co.nz,09-4159833,
20334,Bear Park Childcare Mairangi Bay,18 Apollo Drive,Mairangi Bay,Auckland,mairangibay@bearpark.co.nz,09-479 3795,
